PointID,Lat,Long,Site,Turbine,Distance
1,2303037.53,755201.5413,1,14,17.6873473
2,2302913.428,755244.9718,1,15,11.47673973
3,2303181.122,755165.6115,1,13,33.5299869
4,2303537.718,754952.6308,1,11,14.2583566
5,2303610.829,754854.9746,1,10,22.67280288
6,2303749.108,754796.9132,1,9,37.08132168
7,2302912.875,755227.322,1,15,27.47891011
8,2304112.595,754643.9207,1,6,8.692612014
9,2302704.598,755378.1553,1,17,27.45253366
10,2302484.249,755512.4539,1,19,0.545312857
11,2302508.066,755517.9828,1,19,24.99466888
12,2302413.277,755608.0551,1,20,37.11419236
13,2304698.989,754321.3126,1,1,19.11495907
14,2304297.679,754572.8433,1,4,61.70065704
15,2303488.838,754885.0939,1,11,71.05946269
16,2302913.138,755272.6641,1,15,20.67549952
17,2302494.693,755565.9548,1,19,54.70571589
18,2302570.492,755459.0502,1,18,25.2333939
19,2303833.114,754758.3915,1,8,46.41962755
20,2303292.151,755061.2751,1,12,20.56214581
21,2303047.375,755194.2341,1,14,6.276711301
22,2302909.542,755245.9526,1,15,13.78820248
23,2303050.92,755169.9436,1,14,24.47622592
24,2304220.028,754604.8822,1,5,20.65380203
25,2304451.269,754445.4619,1,3,18.8971192
26,2303035.492,755208.6292,1,14,23.15240321
27,2302388.993,755580.5373,1,20,12.97684672
28,2302814.925,755289.8676,1,16,20.18870518
29,2304358.315,754519.0962,1,4,31.66639103
30,2302420.2,755597.5084,1,20,40.21684568
31,2302927.465,755246.5964,1,15,9.472546105
32,2303192.506,755139.7483,1,13,17.14261714
33,2302893.275,755250.3081,1,15,27.95648729
34,2302589.725,755425.9512,1,18,13.08838586
35,2303104.476,755208.6203,1,14,52.81177861
36,2302670.716,755360.1341,1,17,14.55153065
37,2302525.236,755471.3139,1,19,58.38943165
38,2303174.433,755127.7433,1,13,5.281326581
39,2303809.282,754715.3849,1,8,5.752170925
40,2302517.986,755516.4913,1,19,34.5230831
41,2303732.257,754750.7998,1,9,46.94893867
42,2303511.018,754947.3534,1,11,13.96519241
43,2303852.233,754703.3364,1,8,39.18531632
44,2302690.46,755370.0566,1,17,12.48903164
45,2304555.126,754436.8179,1,2,42.11586535
46,2304252.488,754626.4349,1,5,54.55900369
47,2302501.618,755512.1445,1,19,17.90829167
48,2303802.61,754711.3634,1,8,13.13422914
49,2304482.852,754469.844,1,3,57.61836038
50,2304552.055,754369.5348,1,2,25.89883848
51,2304435.449,754473.2624,1,3,32.16746869
52,2304535.086,754447.3454,1,2,57.25828017
53,2303542.33,754936.5946,1,11,19.91032111
54,2302572.693,755448.4165,1,18,15.51901025
55,2303180.591,755196.56,1,13,64.32793971
56,2303064.801,755187.2566,1,14,13.16975574
57,2302588.815,755449.9276,1,18,13.21925244
58,2303716.036,754795.5006,1,9,4.439683788
59,2302470.54,755509.5265,1,19,13.47267821
60,2303019.99,755249.9203,1,14,65.04183853
61,2303961.984,754760.8621,1,7,50.76337816
62,2303067.78,755212.2703,1,14,22.88523847
63,2304153.068,754675.154,1,6,51.0105103
64,2303828.061,754707.0455,1,8,15.61118
65,2302782.297,755303.3355,1,16,24.07075746
66,2302802.862,755312.3739,1,16,5.38962105
67,2304214.376,754645.0968,1,5,60.83832957
68,2302916.226,755277.3682,1,15,24.29113268
69,2302513.941,755531.5595,1,19,35.8101192
70,2302502.002,755523.2832,1,19,21.30306479
71,2304209.361,754654.1497,1,5,70.30084936
72,2303185.501,755147.5898,1,13,17.44314591
73,2303638.019,754900.9847,1,10,39.75714893
74,2304611.056,754406.1307,1,2,54.44602504
75,2304568.444,754392.1584,1,2,10.95932312
76,2302529.998,755406.6273,1,18,62.18333894
77,2303995.441,754735.1876,1,7,17.580276
78,2303660.888,754873.1104,1,10,54.85152552
79,2304120.436,754655.859,1,6,13.26403391
80,2304280.644,754592.6383,1,5,63.42373134
81,2304736.652,754314.7427,1,1,53.51678824
82,2303780.939,754718.6454,1,8,34.22192712
83,2302830.528,755315.4754,1,16,25.73325386
84,2303784.91,754708.8636,1,8,30.87151682
85,2303055.837,755179.7665,1,14,14.66415324
86,2304042.764,754756.0928,1,7,64.84085546
87,2302777.4,755353.8402,1,16,54.04219707
88,2304667.729,754329.2657,1,1,21.61271351
89,2302599.858,755471.061,1,18,37.02200099
90,2303881.836,754736.9494,1,8,70.12364053
91,2304698.332,754315.9556,1,1,23.39140522
92,2304554.436,754366.1602,1,2,28.82468667
93,2302580.775,755467.7191,1,18,30.21621862
94,2303958.438,754763.1358,1,7,54.64068103
95,2303177.585,755121.2086,1,13,11.13360443
96,2304248.474,754634.9126,1,5,59.15577103
97,2303512.279,754944.4145,1,11,12.80362398
98,2304109.257,754709.8384,1,6,58.56278842
99,2303352.621,755115.9584,1,12,61.3180682
100,2303837.032,754719.8507,1,8,22.40230162
101,2302719.58,755339.6188,1,17,39.33554523
102,2304206.413,754597.1055,1,5,17.07276358
103,2304659.719,754325.3573,1,1,30.49878476
104,2302675.047,755352.4436,1,17,11.94109261
